Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
69082,Zen 5 Sushi,1130 Garnet Ave,San Diego,92109,CA,,8584900121
69083,Ototo Sushi Co.,"5651 Balboa Ave, San Diego",San Diego,92111,CA,,8585058700
69084,Market Restaurant + Bar,3702 Via De La Valle,Del Mar,92014,CA,,8585230007
69085,Sea Salt Pho & Sushi,"10550 Craftsman Way, Ste 186",San Diego,92127,CA,,8585241501
69086,Go Go Sushi & Ramen,"9430 Mira Mesa Blvd, Ste 5C",San Diego,92126,CA,,8585308600
69087,Rakiraki Ramen & Tsukemen,8973 Mira Mesa Blvd,San Diego,92126,CA,,8585363178
69088,Shogun Kobe Restaurant,5451 Kearny Villa Rd,San Diego,92123,CA,,8585607399
69089,O Sushi,"10545 Scripps Poway Pkwy, Ste A",San Diego,92131,CA,,8585640600
69090,Kumi Cafe,"4380 Kearny Mesa Rd, Ste 300",San Diego,92111,CA,,8585651288
69091,Natsu Sushi Bar & Ocean Grill,"3070 Windward Plz, Ste X1",Alpharetta,30005,GA,,4704481919
69092,Extreme Teriyaki Grill Express,3384 Holcomb Bridge Rd,Norcross,30092,GA,,4704483661
69093,Hippie Hibachi,"1235 Chattahoochee Ave NW, Ste 130",Atlanta,30318,GA,,4704947361
69094,Sushi Cafe,"3294 Peachtree Industrial Blvd, Ste 1005",Duluth,30096,GA,,4705394062
69095,Genji Izakaya,5001 Peachtree Blvd,Chamblee,30341,GA,,4705520750
69096,Wagaya - Westside,339 14th St NW,Atlanta,30318,GA,,4705755799
69097,Hibachi Stop,3425 Cascade Rd SW,Atlanta,30311,GA,,4705757773
69098,Flaming Iron,"1000 Peachtree Industrial Blvd, Ste 9",Suwanee,30024,GA,,4705891446
69099,Sensu,300 Trilith Pkwy Suite 270/275,Fayetteville,30214,GA,,4706157192
69100,NoriFish,1115 Springwood Connector,Sandy Springs,30328,GA,,4707135846
69101,PONKO Chicken,"68 N Parkway NW, Square Market",Marietta,30060,GA,,4707854549
69102,Poke Burri CODA,756 W Peachtree St,Atlanta,30308,GA,,4708368698
