orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2018,07-26,8609
2018,12-07,16282
2018,11-05,8620
2018,07-05,7701
2018,10-19,13505
2018,07-24,7185
2018,04-03,7757
2018,09-25,8948
2018,03-15,8142
2018,01-29,5556
2018,08-14,7486
2018,02-07,7741
2018,09-16,8291
2018,06-28,8994
2018,03-28,8126
2018,11-15,14423
2018,04-24,6959
2018,09-24,6903
2018,08-22,8208
2018,04-18,7388
2018,03-03,9357
2018,03-24,8966
2018,07-25,8226
2018,01-05,10588
2018,07-31,7890
2018,03-20,7235
2018,10-29,7624
2018,12-04,10884
2018,08-29,8885
2018,11-06,10319
2018,10-14,8594
2018,05-28,5238
2018,11-23,8198
2018,01-19,9111
2018,04-19,8305
2018,03-05,6730
2018,04-08,6955
2018,08-03,11866
2018,10-15,7248
2018,05-22,6983
2018,08-30,9736
2018,02-12,5881
2018,09-18,8090
2018,11-08,11079
2018,12-31,12856
2018,11-10,12689
2018,07-11,7434
2018,11-21,12237
2018,09-12,8414
2018,10-01,7983
2018,03-06,7121
2018,06-13,7394
2018,06-22,10814
2018,09-10,7144
2018,10-26,14357
2018,09-03,7063
2018,03-10,9184
2018,02-24,9470
2018,07-30,6957
2018,03-22,8053
2018,11-27,10395
2018,06-16,8166
2018,11-29,12450
2018,08-19,7557
2018,03-11,6835
2018,05-29,6341
2018,04-25,8114
2018,11-11,9928
2018,10-16,8426
2018,06-06,7830
2018,12-06,12150
2018,07-09,6474
2018,03-13,6923
2018,08-08,8237
2018,12-02,11201
2018,06-27,8163
2018,08-11,9335
2018,01-04,8441
2018,04-13,9857
2018,04-21,9062
2018,12-21,15464
2018,02-27,7275
2018,10-12,12629
2018,07-03,8535
2018,09-02,8060
2018,07-18,7434
2018,10-07,8697
2018,01-12,9890
2018,05-31,8331
2018,07-06,10117
2018,01-28,5830
2018,09-29,11025
2018,03-02,12956
2018,05-09,7246
2018,08-28,8077
2018,12-08,13697
2018,11-20,10561
2018,09-05,8727
2018,07-20,10379
2018,07-02,7395
2018,02-16,10056
2018,05-15,7001
2018,02-05,6070
2018,01-07,6106
2018,03-27,7247
2018,04-06,10471
2018,12-28,15510
2018,02-21,7348
2018,11-09,16053
2018,02-17,9229
2018,04-15,7464
2018,08-15,8135
2018,11-19,8944
2018,10-24,9734
2018,12-05,11657
2018,04-09,6363
