UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R81207,CHINA GARDEN,"2. $10,000 to $29,999","$26,654",IN,47711,Midwest,2020-05-03T18:01:58Z,active,unknown,2019,32612,"20,201 - 50,000",776.1,"501 - 5,000","$62,359","$60,000 - $100,000",B+
R88383,GOOD FORTUNE,"1. < $10,000","$2,540",MD,21218,Northeast,2017-01-26T17:26:08Z,canceled,unknown,2019,47555,"20,201 - 50,000",4389,"501 - 5,000","$58,847","$1 - $60,000",C-
R86028,MISTER WOK,"2. $10,000 to $29,999","$21,697",PA,19320,Northeast,2023-08-18T21:46:38Z,active,chinese,NA,54617,"50,001+",249.4,101 - 500,"$90,902","$60,000 - $100,000",B
R88295,KYOTO,"1. < $10,000","$7,017",VA,23608,Southeast,2016-05-11T16:45:05Z,canceled,unknown,2019,43058,"20,201 - 50,000",1553.4,"501 - 5,000","$67,260","$60,000 - $100,000",C+
R82723,*CHING'S CHINESE RESTAURANT*,"2. $10,000 to $29,999","$11,090",IL,61761,Midwest,2022-01-04T20:10:12Z,active,chinese,2019,55152,"50,001+",501.5,"501 - 5,000","$64,335","$60,000 - $100,000",A
R85531,CHOPSTIX,"2. $10,000 to $29,999","$15,295",IL,61820,Midwest,2023-04-26T04:55:28Z,active,chinese,NA,38393,"20,201 - 50,000",2270.4,"501 - 5,000","$33,045","$1 - $60,000",B
R83521,*KING'S WOK*,,$0,NY,11520,Northeast,2022-08-12T16:41:54Z,canceled,unknown,2019,43438,"20,201 - 50,000",3343.5,"501 - 5,000","$110,152","$100,001 - $150,000",NA
R88372,CHUNG HOW,"2. $10,000 to $29,999","$14,490",NY,11733,Northeast,2016-12-27T04:12:14Z,canceled,unknown,NA,16363,"5,001 - 20,000",535.2,"501 - 5,000","$170,074","$150,001 - $250,000",A+
R82033,KING GARDEN,"1. < $10,000","$5,419",DE,19810,Northeast,2021-09-25T18:17:58Z,active,chinese,2019,25978,"20,201 - 50,000",1270.3,"501 - 5,000","$102,884","$100,001 - $150,000",A-
R86111,*YUMMY YUMMY*,"1. < $10,000","$8,659",NY,11417,Northeast,2023-08-31T19:00:30Z,suspended,chinese,2019,31321,"20,201 - 50,000",10806.2,"5,001 - 20,000","$84,419","$60,000 - $100,000",B+
R83576,^CHOPSTICK HOUSE^,"2. $10,000 to $29,999","$15,059",FL,32904,Southeast,2022-08-25T03:29:25Z,active,unknown,2019,32138,"20,201 - 50,000",647.2,"501 - 5,000","$85,618","$60,000 - $100,000",A
R82532,CHINA FOOD,"2. $10,000 to $29,999","$15,029",LA,70806,Southeast,2021-11-09T20:52:54Z,active,chinese,2019,28588,"20,201 - 50,000",1243.6,"501 - 5,000","$52,393","$1 - $60,000",B-
R82769,CHINA KING,"2. $10,000 to $29,999","$16,435",OH,44646,Midwest,2022-01-18T00:26:26Z,active,chinese,2019,47437,"20,201 - 50,000",634.1,"501 - 5,000","$64,757","$60,000 - $100,000",B+
