zip_code,total_pop,white_alone,black_alone,asian_alone,chinese_persons,chinese_speakers_total,pct_white,pct_black,pct_asian,pct_chinese
00926,93308,34046,8249,107,99,0,0.36487760963690147,0.08840613880910533,0.001146739829382261,0.0010610022720452695
00927,13675,5637,756,39,15,0,0.4122120658135283,0.05528336380255942,0.0028519195612431445,0.0010968921389396709
00934,80,58,0,0,0,0,0.725,0.0,0.0,0.0
00949,66714,17795,4040,28,0,0,0.2667356177114249,0.06055700452678598,0.00041970201157178405,0.0
00950,0,0,0,0,0,0,,,,
00951,399,50,95,0,0,0,0.12531328320802004,0.23809523809523808,0.0,0.0
00952,8488,1918,1011,0,0,0,0.22596606974552308,0.11910933081998115,0.0,0.0
00953,66475,23388,3064,120,0,0,0.3518315156073712,0.046092515983452424,0.0018051899210229409,0.0
00956,67050,15405,3125,33,14,0,0.2297539149888143,0.04660700969425802,0.0004921700223713646,0.0002087994034302759
00957,40357,10408,2431,181,169,0,0.2578982580469311,0.06023738137126149,0.004484971628218153,0.004187625442921922
00959,46409,12108,2877,90,57,0,0.2608976707104225,0.06199228597901269,0.0019392790191557672,0.0012282100454653192
00960,3340,588,231,0,0,0,0.17604790419161676,0.06916167664670658,0.0,0.0
00961,28891,7760,1416,96,76,0,0.26859575646395073,0.04901180298362812,0.0033228341005849572,0.0026305769962964246
00962,19213,4942,1753,0,0,0,0.2572216728256909,0.09124030604278353,0.0,0.0
00965,5886,1814,1085,30,30,0,0.30818892286782196,0.18433571185864764,0.0050968399592252805,0.0050968399592252805
00966,17715,6083,387,16,0,0,0.3433813152695456,0.021845893310753598,0.0009031893875246966,0.0
00968,3488,1358,88,33,33,0,0.3893348623853211,0.02522935779816514,0.009461009174311927,0.009461009174311927
00969,41619,13353,1953,101,0,0,0.32083903986160167,0.046925682981330645,0.002426776232009419,0.0
00971,25499,6633,1174,0,0,0,0.2601278481509079,0.0460410212165183,0.0,0.0
00976,61306,24870,7355,89,0,0,0.405669918115682,0.11997194401853,0.0014517339249013148,0.0
